supermarket,category,name,description,price,reference_price,reference_unit,insert_date
433463D95980C252B92C204E3655BB81,la_despensa_yogures_y_postres_yogures_desnatados,Yogur desnatado con trozos de fresa sin azúcar añadido Carrefour pack de 4 unidades de 125 g.,,0.8,1.6,kg,2021-01-11 00:00:00
433463D95980C252B92C204E3655BB81,el_mercado_charcuteria_salchichon_salami_y_fuet,Fuet extra  Carrefour sin gluten 150 g.,,1.33,8.87,kg,2020-12-30 12:00:00
433463D95980C252B92C204E3655BB81,limpieza_y_hogar_menaje_vajillas_y_vasos,Bajoplato Cristal 30 cm - Morado,1 Ud.,1.5,1.5,ud,2020-11-21 00:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_boca_y_sonrisa_cepillos_recambios_y_accesorios,Cepillo dental para dientes de leche de 0-6 años Binaca 1 ud.,,3.05,3.05,ud,2020-12-24 12:00:00
433463D95980C252B92C204E3655BB81,parafarmacia_bebe_embarazo_y_lactancia,Discos de lactancia Chicco 60 ud.,,7.0,0.12,ud,2021-01-02 00:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_pastas,Pasta integral mezzi rigatoni La Molisana 500 g.,500 G.,1.56,3.12,kg,2020-11-21 12:00:00
433463D95980C252B92C204E3655BB81,el_mercado_la_cocina_de_carrefour_platos_de_carne_y_pescado,Bacalao al pil pil 1 kg aprox,,18.0,18.0,kg,2020-12-31 00:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,postres_y_yogures_yogures_desnatados,Postre lácteo + proteínas Hacendado chocolate,Pack-4,1.4,2.92,kg,2020-12-13 01:00:00
433463D95980C252B92C204E3655BB81,limpieza_y_hogar_papeleria_pequeno_accesorio,Blister 2000 Grapas N10 Carrefour,2000 Ud,1.45,1.45,ud,2020-10-23 00:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,cuidado_facial_y_corporal_perfume_y_colonia,Lote infantil Disney Bingo y Rolly,Caja,8.0,8.0,ud,2020-07-21 16:06:00
885EA3C1F14BDAE3193991E63BF5CFA4,limpieza_y_hogar_limpiahogar_y_friegasuelos,Friegasuelos insecticida Krisul líquido,Botella,2.15,2.15,L,2020-11-16 12:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_arroz_y_cous_cous,Arroz largo categoría extra Carrefour 1 kg.,,0.82,0.82,kg,2020-12-23 17:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_salsas_y_tomate_frito,Mostaza Heinz envase 220 ml.,,1.56,6.5,l,2021-01-03 00:00:00
433463D95980C252B92C204E3655BB81,bebidas_vinos_todos_los_vinos,Vino tinto Damana 5  D.O. Ribera del Duero 75 cl.,75 Cl.,7.5,7.5,ud,2020-12-01 00:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_salsas_y_tomate_frito,Kétchup Heinz envase 700 g.,,2.89,4.13,kg,2021-01-15 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,alimentacion_internacional_cocina_mejicana,OLD EL PASO kit fajitas caja 505 gr,,4.55,9.01,€/Kg.,2020-10-11 12:00:00
433463D95980C252B92C204E3655BB81,bebidas_alcoholes_todos_los_alcoholes,Seagram'S Ginebra,,15.0,21.43,l,2021-01-15 00:00:00
ADCA3FE6444F01A88B191BBCD4249311,perfumeria_e_higiene_depilacion_maquinillas_y_recambios,WILKINSON Sword extra beauty 2 maquinilla desechable mujer bolsa 5 uds,,2.79,0.4,€/ud.,2020-12-15 02:00:00
433463D95980C252B92C204E3655BB81,bebidas_vinos_blanco,Vino blanco semi-dulce Bach D.O. Cataluña 75 cl.,,3.85,3.85,ud,2021-01-10 00:00:00
433463D95980C252B92C204E3655BB81,el_mercado_charcuteria_salchichas,Salchichas Jumbo de pavo Oscar Mayer 350 g.,,2.1,6.0,kg,2020-12-20 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,azucar_caramelos_y_chocolate_chicles_y_caramelos,Caramelos mantequilla y nata Werther's original,Paquete,1.55,10.33,kg,2020-11-21 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,platos_preparados_carne_carne,DIA callos con chorizo lata 380GR,,1.49,3.92,€/Kg.,2020-08-15 04:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,panaderia_y_pasteleria_bolleria_de_horno,Rosquillas al cacao,Paquete,1.0,5.49,kg,2020-08-02 16:00:00
433463D95980C252B92C204E3655BB81,bebidas_alcoholes_todos_los_alcoholes,Ginebra Larios 1 l.,,10.65,10.65,l,2021-01-04 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,charcuteria_y_quesos_aves_y_jamon_cocido,Jamón cocido natural Hacendado lonchas,Paquete,2.1,10.5,kg,2020-07-29 16:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,mascotas_pez_y_otros,Alimento completo para canarios y jilgueros Granzoo,Paquete,1.25,1.25,kg,2020-12-23 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,bebidas_refrescos_limon,SCHWEPPES limón lata 33 cl,,0.79,2.39,€/l.,2020-11-09 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,perfumeria_e_higiene_botiquin_bicarbonato,DIA bicarbonato sódico bote 300 gr,,0.43,1.43,€/Kg.,2020-10-22 12:00:00
433463D95980C252B92C204E3655BB81,el_mercado_carniceria_vacuno,Chuletón de vacuno 1 Kg aprox,,10.5,10.5,kg,2021-01-21 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,congelados_verdura,Rollitos primavera ultracongelados,Caja,1.5,5.0,kg,2020-12-13 12:00:00
433463D95980C252B92C204E3655BB81,el_mercado_charcuteria_bacon_y_panceta,Cintas de bacon Casa Tarradellas pack de 2 unidades de 100 g.,Pack 2x100 G.,1.82,,,2020-07-16 16:00:00
ADCA3FE6444F01A88B191BBCD4249311,desayuno_dulces_y_pan_galletas_con_chocolate,CHIPS AHOY extra pepitas de chocolate xl bolsa 184 gr,,2.29,12.45,€/Kg.,2020-11-21 00:00:00
433463D95980C252B92C204E3655BB81,bebidas_vinos_estuches_de_vino,Vino blanco verdejo Protos D.O. Rueda pack de 2 botellas de 75 cl.,Pack 2x75 Cl.,13.65,13.65,ud,2020-11-25 00:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,carne_empanados_y_elaborados,Fiambre de pechuga de pavo adobada,Bandeja,3.87,8.6,kg,2020-10-24 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,bebidas_sangrias_y_combinados_base_vino_sangrias_y_combinados_base_vino,DIA tinto de verano limón botella 1.5 lt,,0.89,0.59,€/l.,2020-11-12 12:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_cuidado_y_proteccion_corporal_piel,Crema cicatrizante de noche anti-edad Laser X3 L'Oréal-Revitalift 50 ml.,50 Ml.,19.0,38.0,100 ml,2020-12-07 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,bebidas_alcoholes_y_licores_vermouth_y_aperitivos,MARTINI vermouth rosso botella 1 lt,,8.49,8.49,€/l.,2020-10-05 00:00:00
433463D95980C252B92C204E3655BB81,el_mercado_pescaderia_pescado_y_marisco_congelado,Langostino cocido congelado (30/40 ud) Pescatrade 900 g,900 G.,8.95,9.94,kg,2020-11-15 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,alimentacion_aceite_aceite_de_oliva_virgen_y_virgen_extra,HOJIBLANCA aceite de oliva virgen extra botella 1 lt,,4.89,4.89,€/l.,2020-11-22 00:00:00
433463D95980C252B92C204E3655BB81,el_mercado_charcuteria_y_quesos_al_corte_fiambres_y_cocidos,Jamón cocido extra braseado El Pozo Edición 1954 al corte sin gluten 150 g aprox,Envase De 150.0 G. Aprox,1.79,11.95,kg,2020-09-28 00:02:00
885EA3C1F14BDAE3193991E63BF5CFA4,cuidado_facial_y_corporal_perfume_y_colonia,Lote infantil My Unicorn,Caja,8.0,8.0,ud,2020-09-09 04:00:00
433463D95980C252B92C204E3655BB81,bebidas_vinos_todos_los_vinos,Vino D.O. Rioja tinto crianza Bardesano 75 cl.,,4.5,4.5,ud,2021-01-07 12:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_nutricion_deportiva,Complemento alimenticio L-Carnitine Prozis 60 ud.,60 Ud.,9.4,18.43,100 g,2020-11-29 01:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,maquillaje_labios,Pintalabios color fix Deliplus 02,,3.5,3.5,ud,2020-10-04 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,frescos_carne_y_aves_salchichas_chorizo_morcilla,Chorizo criollo (peso aprox. 450 gr),,2.93,6.5,€/Kg.,2020-09-05 16:00:00
ADCA3FE6444F01A88B191BBCD4249311,desayuno_dulces_y_pan_chocolates_y_bombones_tabletas,MILKA chocolate con avellanas tableta 270 gr,,2.79,10.33,€/Kg.,2020-12-09 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,bebe_alimentacion_infantil_zumos_y_bebidas,NESTLE Naturnes manzana y plátano pouch 90 gr,,0.99,11.0,€/Kg.,2020-09-30 00:01:00
885EA3C1F14BDAE3193991E63BF5CFA4,pizzas_y_platos_preparados_pizzas,Pizza ibérica Hacendado ultracongelada,,2.0,5.26,kg,2020-12-31 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,drogueria_y_limpieza_accesorios_limpieza_bayetas_y_gamuzas,DIA bayeta absorbente y suave paquete 6 uds,,1.45,0.24,€/ud.,2021-01-23 00:00:00
